Reporting Date,Sale Month,Store,Artist,Title,ISRC,UPC,Quantity,Team Percentage,Song/Album,Country of Sale,Songwriter Royalties Withheld,Earnings (USD)
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,3,100,Song,NO,0,0.01731702
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,6,100,Song,NZ,0,0.00484342
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,13,100,Song,PH,0,0.01555385
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,1,100,Song,PL,0,0.00217536
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,13,100,Song,SE,0,0.06411948
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,1,100,Song,SE,0,0.00318515
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,14,100,Song,SG,0,0.04826153
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,1,100,Song,TW,0,0.00013139
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,4,100,Song,ZA,0,0.00684289
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,4,100,Song,GB,0,0.01599155
2022-12-30,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,53,100,Song,GB,0,0.21295876
2022-12-31,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,1,100,Song,IN,0,7.3e-05
2022-12-31,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,29,100,Song,IN,0,0.005349
2022-12-31,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,3,100,Song,QA,0,4.6e-05
2022-12-31,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,30,100,Song,US,0,0.08774501
2022-12-31,2022-10,Spotify,Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196833204514.0,123,100,Song,US,0,0.46789204
2022-12-30,2022-10,Spotify,Lamanna,Mansions,QZMEM2196948,196398214584.0,4,100,Song,AT,0,0.02161899
2022-12-30,2022-10,Spotify,Lamanna,Past Life,QZRP42101051,196833204514.0,1,100,Song,TW,0,0.00013139
2022-12-30,2022-10,Resso,Lamanna,Mansions,QZMEM2196948,196398214584.0,1,100,Song,ID,0,4.569e-05
